source,repository.name,repository.full_name,repository.html_url,repository.description
GitHub API,pytorch-diffusion,quickgrid/pytorch-diffusion,https://github.com/quickgrid/pytorch-diffusion,Implementation of diffusion models in pytorch for custom training.
GitHub API,dema-rs,sabinchitrakar/dema-rs,https://github.com/sabinchitrakar/dema-rs,Double Exponential Moving Average (DEMA) implementation in Rust
GitHub API,SMP2021-ECISA,myeclipse/SMP2021-ECISA,https://github.com/myeclipse/SMP2021-ECISA,SMP2021-ECISA 中文隐式情感分析评测第4名解决方案
GitHub API,Forex-Expert-Advisor,juliach98/Forex-Expert-Advisor,https://github.com/juliach98/Forex-Expert-Advisor,Forex Expert Advisor for automation of analytical and trading processes based on strategy EMA (4+13+50) + Stochastic.
GitHub API,ema,romulodl/ema,https://github.com/romulodl/ema,EMA (Exponential Moving Average) in php
GitHub API,tradingview-pinescript-4-ma-lines-indicator,nguyentamgm/tradingview-pinescript-4-ma-lines-indicator,https://github.com/nguyentamgm/tradingview-pinescript-4-ma-lines-indicator,The base lines for forex trading in Pine Script
GitHub API,ema-rs,sabinchitrakar/ema-rs,https://github.com/sabinchitrakar/ema-rs,Exponential Moving Average (EMA) implementation in Rust
GitHub API,EMA_system,ZS-Yang-TW/EMA_system,https://github.com/ZS-Yang-TW/EMA_system,
GitHub API,t3p-server,emanuelturtula/t3p-server,https://github.com/emanuelturtula/t3p-server,
GitHub API,vdvae,openai/vdvae,https://github.com/openai/vdvae,"Repository for the paper ""Very Deep VAEs Generalize Autoregressive Models and Can Outperform Them on Images"""
GitHub API,PivotOnEMA,TechRancher/PivotOnEMA,https://github.com/TechRancher/PivotOnEMA,Pivot On EMA is a Strategy I came up with to be used with ThinkorSwim:registered: platform. This Strategy uses 3 EMA and my Pivot RSI to give the user a buy long signal and or sell short signal.
GitHub API,s-ema-john-simple-main-updated,AMIN-SUAAD/s-ema-john-simple-main-updated,https://github.com/AMIN-SUAAD/s-ema-john-simple-main-updated,Live link: https://fir-ema-john-simple-main-57df3.web.app/
GitHub API,ema-js-parser,music-addressability/ema-js-parser,https://github.com/music-addressability/ema-js-parser,A generic parser in Typescript/JavaScript for Enhancing Music Notation Addressability (EMA) expressions
GitHub API,sma,patharanordev/sma,https://github.com/patharanordev/sma,Calculate Simple Moving Average(SMA) to support client/server site
GitHub API,EMA,Hazelsuko07/EMA,https://github.com/Hazelsuko07/EMA,
GitHub API,NVDA_EMAs_crossover,davidpasini/NVDA_EMAs_crossover,https://github.com/davidpasini/NVDA_EMAs_crossover,Trading algorithm that places long positions when price is above the baseline EMA and the fast EMA crosses over the slow EMA. Position exits on a series of stoploss indicators
GitHub API,Ema,carlosmateo89/Ema,https://github.com/carlosmateo89/Ema,An MVVM library to implement this architecture by an easy way in your app
GitHub API,ema-timeout,jiamao/ema-timeout,https://github.com/jiamao/ema-timeout,使用ema算法来动态计算接口超时设定，柔性超时
GitHub API,pytorch_ema,fadel/pytorch_ema,https://github.com/fadel/pytorch_ema,Tiny PyTorch library for maintaining a moving average of a collection of parameters.
GitHub API,fin-calc,kunogi/fin-calc,https://github.com/kunogi/fin-calc,a tool lib calculates fin-indicators
GitHub API,SuperEMA,TechRancher/SuperEMA,https://github.com/TechRancher/SuperEMA,"Super EMA is a ThinkorSwim:registered: platform script that combines three EMA. The 20 EMA, 50 EMA, and 100 EMA."
GitHub API,oanda-bot-python,10mohi6/oanda-bot-python,https://github.com/10mohi6/oanda-bot-python,oanda-bot is a python library for automated trading bot with oanda rest api on Python 3.6 and above.
GitHub API,Ema,m23ck/Ema,https://github.com/m23ck/Ema,Employee Management Alembo
GitHub API,vptrade,vnpnh/vptrade,https://github.com/vnpnh/vptrade,vptrade is a technical indicators trading tools can be used to all instruments.
GitHub API,org-roam-ema,JonathanReeve/org-roam-ema,https://github.com/JonathanReeve/org-roam-ema,Static web export for an org-roam directory. WIP. 
GitHub API,ema,lezhnev74/ema,https://github.com/lezhnev74/ema,External memory app - allows one to quickly post and search text notes
GitHub API,python-ema,derekjhyang/python-ema,https://github.com/derekjhyang/python-ema,
GitHub API,MovingAverageClasses,pdanford/MovingAverageClasses,https://github.com/pdanford/MovingAverageClasses,Python 3 Classes to Calculate Moving Averages Iteratively
GitHub API,test,chlwhdans12/test,https://github.com/chlwhdans12/test,
GitHub API,CrowdSim,floristevito/CrowdSim,https://github.com/floristevito/CrowdSim,Repository holding all the contents in regard to thesis work for a Master of Science in Engineering and Policy Analysis at the Delft University of Technology.
GitHub API,mackmd_tradebtc,kiwichuang/mackmd_tradebtc,https://github.com/kiwichuang/mackmd_tradebtc,
GitHub API,Article.EMA.Java.ChainExpander,Refinitiv-API-Samples/Article.EMA.Java.ChainExpander,https://github.com/Refinitiv-API-Samples/Article.EMA.Java.ChainExpander,Created by Platform Services GitHub tool on Mon Mar 06 2017
GitHub API,Supplypipe,danielboloc/Supplypipe,https://github.com/danielboloc/Supplypipe,Stock price extractor and signal generator
GitHub API,Calculate-EMA,bluesnooker123/Calculate-EMA,https://github.com/bluesnooker123/Calculate-EMA,Share Price Monitoring Script in C#
GitHub API,samurai,sirolf2009/samurai,https://github.com/sirolf2009/samurai,
GitHub API,iocengine-stockindex,YanLongDong/iocengine-stockindex,https://github.com/YanLongDong/iocengine-stockindex,通达信指标转量化
GitHub API,s22-ema,cs481-ekh/s22-ema,https://github.com/cs481-ekh/s22-ema,
GitHub API,Stock-Trading-Helper,Jefflin413/Stock-Trading-Helper,https://github.com/Jefflin413/Stock-Trading-Helper,This project aims to develop a web application that is useful and convenient for people who want to do algorithmic trading. The features include a real-time stock chart with multiple adjustable options
GitHub API,EMa_Estate-Web-Manager,DeliTrbat/EMa_Estate-Web-Manager,https://github.com/DeliTrbat/EMa_Estate-Web-Manager,
GitHub API,forex-algo,Blake-Arledge/forex-algo,https://github.com/Blake-Arledge/forex-algo,Data Science bootcamp project attempting to use previous technical indicators and a that has been expanded upon
GitHub API,FastDPM_pytorch,FengNiMa/FastDPM_pytorch,https://github.com/FengNiMa/FastDPM_pytorch,"Official PyTorch implementation for FastDPM, a fast sampling algorithm for diffusion probabilistic models"
GitHub API,Cryptocurrency-Momentum-Analysis,Nick-foote/Cryptocurrency-Momentum-Analysis,https://github.com/Nick-foote/Cryptocurrency-Momentum-Analysis,
GitHub API,blog,tommyengstrom/blog,https://github.com/tommyengstrom/blog,
GitHub API,Article.EMA.Java.SLF4J,Refinitiv-API-Samples/Article.EMA.Java.SLF4J,https://github.com/Refinitiv-API-Samples/Article.EMA.Java.SLF4J,This article will show how to integrate your EMA Java 1.3.x application with Log4j in a Maven way.
GitHub API,FastPass,EmaRCB/FastPass,https://github.com/EmaRCB/FastPass,"FastPass is a bot developed for the instant messaging platform ""Discord"" that, by using commands in a text channel, delivers to Discord users, video game accounts with specific features that are on sale on the platform ""eldorado.gg"", generating the link where those accounts are hosted and sending it to users as a message via a text channel."
GitHub API,tkinder1,rajared/tkinder1,https://github.com/rajared/tkinder1,
GitHub API,ETMeta,thesethtruth/ETMeta,https://github.com/thesethtruth/ETMeta,A trial and error story about a boi trying to api the etm
GitHub API,ema-pytorch,lucidrains/ema-pytorch,https://github.com/lucidrains/ema-pytorch,A simple way to keep track of an Exponential Moving Average (EMA) version of your pytorch model
GitHub API,zenbot_412,sumdoll/zenbot_412,https://github.com/sumdoll/zenbot_412,zenbot 4.1.2 release
GitHub API,shared_mutex,Emanem/shared_mutex,https://github.com/Emanem/shared_mutex,A C++11 shared mutex with high emphasis on performance
GitHub API,joel,iucigrig/joel,https://github.com/iucigrig/joel,joel
GitHub API,LCYS-EMA-Project,Jhines2022/LCYS-EMA-Project,https://github.com/Jhines2022/LCYS-EMA-Project,
GitHub API,slegan,lutherrr/slegan,https://github.com/lutherrr/slegan,
GitHub API,market_monitor,jaybutera/market_monitor,https://github.com/jaybutera/market_monitor,
GitHub API,zen,pelayo90/zen,https://github.com/pelayo90/zen,
GitHub API,EMA_strategy,anuntarin/EMA_strategy,https://github.com/anuntarin/EMA_strategy,
GitHub API,measurement-prediction-framework,m-r-s/measurement-prediction-framework,https://github.com/m-r-s/measurement-prediction-framework,Essential Measurement Applications (EMA) integrated with scripts to simulate the measurements with FADE
GitHub API,zenbot,tamirverthim/zenbot,https://github.com/tamirverthim/zenbot,
GitHub API,BTCAutoTrader,zhengwang1990/BTCAutoTrader,https://github.com/zhengwang1990/BTCAutoTrader,Automatically trade BTC-USD on Coinbase Pro
GitHub API,GekkoAlgs,k-kapital/GekkoAlgs,https://github.com/k-kapital/GekkoAlgs,
GitHub API,AntStockBroker,anthonylai510/AntStockBroker,https://github.com/anthonylai510/AntStockBroker,AntStockBroker is a real-time stock broker system
GitHub API,monitorbot,lxwang/monitorbot,https://github.com/lxwang/monitorbot,GDAX trading bot
GitHub API,talipp,nardew/talipp,https://github.com/nardew/talipp,talipp - incremental technical analysis library for python
GitHub API,VQ-VAE-Images,swasun/VQ-VAE-Images,https://github.com/swasun/VQ-VAE-Images,PyTorch implementation of VQ-VAE applied on CIFAR10 dataset
GitHub API,ema_assistant,susom/ema_assistant,https://github.com/susom/ema_assistant,A REDCap EM to assist in running surveys that are part of an Ecological Momentary Assessment study
GitHub API,crypto-market-samples,imwatsi/crypto-market-samples,https://github.com/imwatsi/crypto-market-samples,A collection of sample Python scripts that one can incorporate or build upon when developing customized systems for trading cryptocurrency
GitHub API,testwise,aticio/testwise,https://github.com/aticio/testwise,A backtester (backtest helper) for testing my trading strategies.
GitHub API,TradingViewAPI,aiThanet/TradingViewAPI,https://github.com/aiThanet/TradingViewAPI,
GitHub API,bot,f13end/bot,https://github.com/f13end/bot,
GitHub API,gantrade,gant85/gantrade,https://github.com/gant85/gantrade,GanTrade - Automated trading
GitHub API,vdub,niconuto/vdub,https://github.com/niconuto/vdub,vdub
GitHub API,adliya,faezs/adliya,https://github.com/faezs/adliya,
GitHub API,MoodTracker-Tutorial,EmaApps/MoodTracker-Tutorial,https://github.com/EmaApps/MoodTracker-Tutorial,Ema tutorial: write a mood tracker
GitHub API,myzbot,phucktum/myzbot,https://github.com/phucktum/myzbot,
GitHub API,ma_strategy,namm2008/ma_strategy,https://github.com/namm2008/ma_strategy,Backtesting Moving average strategies.
GitHub API,EMA-Exponential-Moving-Average-,Fei-Ho/EMA-Exponential-Moving-Average-,https://github.com/Fei-Ho/EMA-Exponential-Moving-Average-,Implementation of EMA in tensorflow2. It's very easy to use.
GitHub API,sling,liseandr/sling,https://github.com/liseandr/sling,sking
GitHub API,Ripstar,roscandra6/Ripstar,https://github.com/roscandra6/Ripstar,ripstar
GitHub API,Atelie-da-Casa-Museu-Ema-Klabin,ema-klabin/Atelie-da-Casa-Museu-Ema-Klabin,https://github.com/ema-klabin/Atelie-da-Casa-Museu-Ema-Klabin,
GitHub API,27-09-bot,spreadzp/27-09-bot,https://github.com/spreadzp/27-09-bot,
GitHub API,DesarrolloWeb,EmaRCB/DesarrolloWeb,https://github.com/EmaRCB/DesarrolloWeb,
GitHub API,test-heroku,MdAtikBhuiyan/test-heroku,https://github.com/MdAtikBhuiyan/test-heroku,
GitHub API,Example.EMA.Java.ValueAddObjectsForEMA,Refinitiv-API-Samples/Example.EMA.Java.ValueAddObjectsForEMA,https://github.com/Refinitiv-API-Samples/Example.EMA.Java.ValueAddObjectsForEMA,Value-add objects for EMA
GitHub API,bybit-backtest-python,10mohi6/bybit-backtest-python,https://github.com/10mohi6/bybit-backtest-python,bybit-backtest is a python library for backtest with bybit fx trade on Python 3.7 and above.
GitHub API,repository.name,repository.full_name,repository.html_url,repository.description
GitHub API,angular__cdk,esm-bundle/angular__cdk,https://github.com/esm-bundle/angular__cdk,ESM and SystemJS bundles for @angular/cdk
GitHub API,esm_yaml,pgierz/esm_yaml,https://github.com/pgierz/esm_yaml,
GitHub API,import-esm,fisker/import-esm,https://github.com/fisker/import-esm,Import ES Module in the safe way
GitHub API,openmrs-esm-core,devemmm/openmrs-esm-core,https://github.com/devemmm/openmrs-esm-core,
GitHub API,angular__platform-browser-dynamic,esm-bundle/angular__platform-browser-dynamic,https://github.com/esm-bundle/angular__platform-browser-dynamic,ESM and SystemJS bundles for @angular/platform-browser-dynamic
GitHub API,rxjs,esm-bundle/rxjs,https://github.com/esm-bundle/rxjs,
GitHub API,rafabernad,joeldenning/rafabernad,https://github.com/joeldenning/rafabernad,
GitHub API,classnames,esm-bundle/classnames,https://github.com/esm-bundle/classnames,
GitHub API,openmrs-esm-patient-management,devemmm/openmrs-esm-patient-management,https://github.com/devemmm/openmrs-esm-patient-management,
GitHub API,markdown-it-emoji,joeldenning/markdown-it-emoji,https://github.com/joeldenning/markdown-it-emoji,
GitHub API,install_editable_tools,denizural/install_editable_tools,https://github.com/denizural/install_editable_tools,
GitHub API,esm-cjs-shim,cspotcode/esm-cjs-shim,https://github.com/cspotcode/esm-cjs-shim,
GitHub API,esm-config-tostring-bug,CacheControl/esm-config-tostring-bug,https://github.com/CacheControl/esm-config-tostring-bug,
GitHub API,esm-loader,direktspeed/esm-loader,https://github.com/direktspeed/esm-loader,Offers Cross Environment ESM Loading even from Strings is a Loader Construction Framework for Userland http import in nodejs supports remote url including node-resolve via rollup
GitHub API,esm-hostagent,commoncriteria/esm-hostagent,https://github.com/commoncriteria/esm-hostagent,Protection Profile for Host Agent
GitHub API,import-cjs-issue,mysticatea/import-cjs-issue,https://github.com/mysticatea/import-cjs-issue,
GitHub API,taro-bug-demo2,shenX-2021/taro-bug-demo2,https://github.com/shenX-2021/taro-bug-demo2,Taro.redirectTo bug
GitHub API,esm-nextjs-reproducable-error,martinratinaud/esm-nextjs-reproducable-error,https://github.com/martinratinaud/esm-nextjs-reproducable-error,Repo to reproduce error when importing an ES modules inside a custom server in nodeJS
GitHub API,AwareESMHelper,tetujin/AwareESMHelper,https://github.com/tetujin/AwareESMHelper,A helper library for managing ESM configuration on AWARE Framework
GitHub API,node-esm-linaria-repro,RanolP/node-esm-linaria-repro,https://github.com/RanolP/node-esm-linaria-repro,Linaria 4.1.2 is incompatible with Node v18 ESM
GitHub API,esm-mock,rompetroll/esm-mock,https://github.com/rompetroll/esm-mock,example showing difficulties in mocking modules with esm loader
GitHub API,esm-loaders,brev/esm-loaders,https://github.com/brev/esm-loaders,ESModule Loaders Monorepo
GitHub API,hot-esm,vinsonchuong/hot-esm,https://github.com/vinsonchuong/hot-esm,
GitHub API,ts-node-esm-bug,SimonSiefke/ts-node-esm-bug,https://github.com/SimonSiefke/ts-node-esm-bug,
GitHub API,tsgo,toyobayashi/tsgo,https://github.com/toyobayashi/tsgo,A commandline tool for using TypeScript to write libraries and export API documentation
GitHub API,source_vendor_import_map_fix_up,jimisaacs/source_vendor_import_map_fix_up,https://github.com/jimisaacs/source_vendor_import_map_fix_up,Temporary solution to fix up the generated vendor import map with a source import map.
GitHub API,build-esm-project,gxlmyacc/build-esm-project,https://github.com/gxlmyacc/build-esm-project,a build command that transform js/jsx/images/styles with babel/postcss
GitHub API,esm-edr,commoncriteria/esm-edr,https://github.com/commoncriteria/esm-edr,Protection Profile for Endpoint Detection and Response
GitHub API,test-cli-modern,typhonjs-oclif-scratch/test-cli-modern,https://github.com/typhonjs-oclif-scratch/test-cli-modern,"Provides a modern test CLI for ESM changes to @oclif v2 against Node 12.20.0+, 14.13+, 15+"
GitHub API,angular__upgrade,esm-bundle/angular__upgrade,https://github.com/esm-bundle/angular__upgrade,ESM and SystemJS bundles for @angular/upgrade
GitHub API,esm-root-loader,aduth/esm-root-loader,https://github.com/aduth/esm-root-loader,ESM loader to import from the project root
GitHub API,the-sample-of-module-bundler,hiroppy/the-sample-of-module-bundler,https://github.com/hiroppy/the-sample-of-module-bundler,You will know how to make a javascript bundler
GitHub API,express-pg-esm-example,crayola-eater/express-pg-esm-example,https://github.com/crayola-eater/express-pg-esm-example,
GitHub API,reproduceCasbinError,armr-dev/reproduceCasbinError,https://github.com/armr-dev/reproduceCasbinError,Reproduces an error Storybook is throwing when Casbin is imported
GitHub API,father2,xiangfengsu/father2,https://github.com/xiangfengsu/father2,
GitHub API,detective-esm,browserify/detective-esm,https://github.com/browserify/detective-esm,find es module dependencies [experimental]
GitHub API,node-esm-sigsegv,demurgos/node-esm-sigsegv,https://github.com/demurgos/node-esm-sigsegv,
GitHub API,esm_query_tester,aw-mfe/esm_query_tester,https://github.com/aw-mfe/esm_query_tester,Build and test McAfee ESM queries with a YAML template
GitHub API,bfx-hf-strategy-py,bitfinexcom/bfx-hf-strategy-py,https://github.com/bitfinexcom/bfx-hf-strategy-py,
GitHub API,Real-ESRGAN-TensorFlow,vincent1bt/Real-ESRGAN-TensorFlow,https://github.com/vincent1bt/Real-ESRGAN-TensorFlow,Real-ESRGAN Implementation using TensorFlow
GitHub API,Geo-DefakeHop,hongshuochen/Geo-DefakeHop,https://github.com/hongshuochen/Geo-DefakeHop,
GitHub API,phema.github.io,PheMA/phema.github.io,https://github.com/PheMA/phema.github.io,The Phenotype Execution Modeling Architecture (PhEMA) project
GitHub API,Awesome-list-of-Haskell-mentors,willbasky/Awesome-list-of-Haskell-mentors,https://github.com/willbasky/Awesome-list-of-Haskell-mentors,An amazing list of Haskell developers who would like to mentor beginner-contributors in open source projects.
GitHub API,ZFundPredictor,ZxZ7/ZFundPredictor,https://github.com/ZxZ7/ZFundPredictor,"A Fund Price Prediction Framework (LSTM-based, web scraping included) 天天基金网爬虫+基金预测"
GitHub API,torcheras,hackiey/torcheras,https://github.com/hackiey/torcheras,A keras style's pytorch framework
GitHub API,backtest,Yanjing-PENG/backtest,https://github.com/Yanjing-PENG/backtest,"A python framework to implement backtest research for trading strategies, especially for CTA strategies."
GitHub API,binance-trading-bot,enniorampello/binance-trading-bot,https://github.com/enniorampello/binance-trading-bot,Cryptocurrency trading bot built to work on binance exchange
GitHub API,ema-jhon-react,Mosiur-Rahman-1/ema-jhon-react,https://github.com/Mosiur-Rahman-1/ema-jhon-react,"A simple Amazon.com website clone. That let the users or buyers buy the offered products . Checked out, Add or remove products. That provide them a simple ecommerce experience"
GitHub API,BigGAN-paddle,zzz2010/BigGAN-paddle,https://github.com/zzz2010/BigGAN-paddle,
GitHub API,one-bit-supervision,huhengtong/one-bit-supervision,https://github.com/huhengtong/one-bit-supervision,"The source code for the NeurIPS 2020 paper ""One-bit Supervision for Image Classification"""
GitHub API,Ema,gazinbendigo/Ema,https://github.com/gazinbendigo/Ema,
GitHub API,bfx-hf-strategy-dazaar,bitfinexcom/bfx-hf-strategy-dazaar,https://github.com/bitfinexcom/bfx-hf-strategy-dazaar,
GitHub API,EmaCartoon-Portfolio,emacartoon/EmaCartoon-Portfolio,https://github.com/emacartoon/EmaCartoon-Portfolio,My Personal Portfolio for Bootcamp
GitHub API,Backtester,vipultanwr/Backtester,https://github.com/vipultanwr/Backtester,
GitHub API,CoinTK,CoinTK/CoinTK,https://github.com/CoinTK/CoinTK,[HackIllinois 17 Winner] Bitcoin Trading Algorithm Backtesting and Analysis Toolkit
GitHub API,ema-john-simple,NajahNarjish/ema-john-simple,https://github.com/NajahNarjish/ema-john-simple,
GitHub API,SupCon-Framework,ivanpanshin/SupCon-Framework,https://github.com/ivanpanshin/SupCon-Framework,"Implementation of Supervised Contrastive Learning with AMP, EMA, SWA, and many other tricks "
GitHub API,QPL,DanielRabl/QPL,https://github.com/DanielRabl/QPL,
GitHub API,EfficientNets_ddl_apex,xslidi/EfficientNets_ddl_apex,https://github.com/xslidi/EfficientNets_ddl_apex,A Pytorch implementation of EfficientNet-B0 on ImageNet
GitHub API,Trady,kuco23/Trady,https://github.com/kuco23/Trady,Trading bot framework (on Binance)
GitHub API,dynamic,phymucs/dynamic,https://github.com/phymucs/dynamic,
GitHub API,Urban-SETP,keesvanginkel/Urban-SETP,https://github.com/keesvanginkel/Urban-SETP,Flood risk and house price tipping points for an archetypical coastal city under many sea level rise scenarios and dynamic adaptive policies.
GitHub API,ema_check_vector_mqi,ActianCorp/ema_check_vector_mqi,https://github.com/ActianCorp/ema_check_vector_mqi,A command line utility for check the health status of a VectorH cluster
GitHub API,Werk,AgalmicVentures/Werk,https://github.com/AgalmicVentures/Werk,High-throughput / low-latency C++ application framework
GitHub API,korsa,srkuberski/korsa,https://github.com/srkuberski/korsa,KORSA processing framework
GitHub API,it-events-source,Defkon1/it-events-source,https://github.com/Defkon1/it-events-source,"Il codice sorgente di CalendarioEventi.dev, basato su Gatsby e Grommet"
GitHub API,MetaIRNet,apple2373/MetaIRNet,https://github.com/apple2373/MetaIRNet,Meta-Reinforced Synthetic Data for One-Shot Fine-Grained Visual Recognition (NeurIPS 2019)
